feature,mean_abs_shap
rolling_mean_7,0.23277198
rolling_mean_14,0.09300882
rolling_mean_28,0.092557184
stockout_ratio,0.07808167
discount,0.06470545
holiday_flag,0.058432832
first_category_id_te,0.04527078
rolling_std_28,0.0410546
rolling_std_7,0.034972504
lag_7,0.02781865
series_scale,0.026815774
lag_28,0.02620229
stockout_ratio_28d,0.023532206
day_of_week,0.022264695
lag_14,0.022245271
cos_7d_h1,0.021481087
lag_21,0.020258391
stockout_ratio_7d,0.020163385
stockout_hours,0.019448893
rolling_std_14,0.01657039
sin_30d_h1,0.012697607
lag_1,0.012439187
stockout_ratio_14d,0.0116690695
sin_30d_h2,0.0069889626
is_weekend,0.006890551
day_of_month,0.0066706305
week_of_year,0.006495294
avg_temperature,0.0062161414
city_id,0.0059404764
is_stockout,0.005902069
cos_30d_h1,0.005573542
activity_flag,0.0055290465
sin_7d_h3,0.0045833187
avg_humidity,0.0045153005
sin_30d_h3,0.004499402
cos_30d_h2,0.00405246
city_id_te,0.0038059605
precpt,0.0035115264
sin_7d_h1,0.0024611105
avg_wind_level,0.0023323542
cos_30d_h3,0.0022510076
cos_7d_h2,0.0021830911
sin_7d_h2,0.00214267
month,0.0013189297
cos_7d_h3,0.0009571888
